Rodeway Inn Urbana Champaign University Area,OPERATIONAL,lodging point_of_interest establishment ,"612 W Killarney St, Urbana",0,3.6,52,,static/img/hotel/Rodeway Inn Urbana Champaign University Area
America's Best Inn Urbana Champaign,OPERATIONAL,lodging point_of_interest establishment ,"409 W University Ave, Urbana",0,3.1,110,,static/img/hotel/America's Best Inn Urbana Champaign
Best Western University Inn,OPERATIONAL,lodging point_of_interest establishment ,"902 W Killarney St, Urbana",0,3.6,7,,static/img/hotel/Best Western University Inn
Lincoln Lodge,OPERATIONAL,lodging point_of_interest establishment ,"403 W University Ave, Urbana",0,2.7,89,,static/img/hotel/Lincoln Lodge
Best Western Plus Champaign Urbana Inn,OPERATIONAL,lodging point_of_interest establishment ,"516 W Marketview Dr, Champaign",0,3,2,,static/img/hotel/Best Western Plus Champaign Urbana Inn
"Motel 6 Urbana, IL",OPERATIONAL,lodging point_of_interest establishment ,"1906 N Cunningham Ave, Urbana",0,3.5,419,,"static/img/hotel/Motel 6 Urbana, IL"
Extended Stay America - Champaign - Urbana,OPERATIONAL,lodging point_of_interest establishment ,"610 W Marketview Dr, Champaign",0,3.8,247,,static/img/hotel/Extended Stay America - Champaign - Urbana
"Sylvia's Irish Inn - Bed & Breakfast Accommodation  B&B Room  Motel in Urbana, IL",OPERATIONAL,lodging point_of_interest establishment ,"312 W Green St, Urbana",0,4.9,33,,"static/img/hotel/Sylvia's Irish Inn - Bed & Breakfast Accommodation  B&B Room  Motel in Urbana, IL"
Radisson Hotel & Conference Center Champaign-Urbana,OPERATIONAL,lodging point_of_interest establishment ,"1001 W Killarney St, Urbana",0,2.3,12,,static/img/hotel/Radisson Hotel & Conference Center Champaign-Urbana
Manor Motel,OPERATIONAL,lodging point_of_interest establishment ,"1102 N Cunningham Ave #1828, Urbana",0,3.1,39,,static/img/hotel/Manor Motel
Best Western University Inn,OPERATIONAL,lodging point_of_interest establishment ,"902 W Killarney St, Urbana",0,0,0,,static/img/hotel/Best Western University Inn
Champaign Garden Inn,OPERATIONAL,lodging point_of_interest establishment ,"411 W Hill St, Champaign",0,4.9,65,,static/img/hotel/Champaign Garden Inn
Courtesy Motel,OPERATIONAL,lodging point_of_interest establishment ,"403 N Vine St, Urbana",0,3.6,44,,static/img/hotel/Courtesy Motel
Eastland Suites Middle School,OPERATIONAL,lodging point_of_interest establishment ,"1907 N Cunningham Ave, Urbana",0,4.8,4,,static/img/hotel/Eastland Suites Middle School
Candlewood Suites,OPERATIONAL,lodging point_of_interest establishment ,"1917 Moreland Blvd, Champaign",0,0,0,,static/img/hotel/Candlewood Suites
Fairfield INN,OPERATIONAL,lodging point_of_interest establishment ,"Bloomington Rd, Champaign",0,4,3,,static/img/hotel/Fairfield INN
