C-U La La Noodle,ChIJLZylq8LXDIgR-jgWxNxzFFE,OPERATIONAL,restaurant food,"410 E Green St #13, Champaign",2,4,41
Good Fella,ChIJL_AOoDPXDIgRZlOFWPkwwBw,OPERATIONAL,restaurant food,"905 S Neil St # F, Champaign",2,4.4,103
Mr crab Cajun boil seafood house,ChIJ8_qTGCPXDIgRFcypEQpQ5tw,OPERATIONAL,restaurant food,"401 S 1st St, Champaign",2,4.2,38
Burger King,ChIJVU0tYWnXDIgRe4I1I0YcD9I,OPERATIONAL,restaurant food,"1106 W University Ave, Urbana",1,3.8,383
Neil St Blues,ChIJyZ-YWFrXDIgRQ78mxkN5oPY,OPERATIONAL,restaurant night_club bar food,"301 N Neil St #106, Champaign",2,4.4,362
Dos Reales Mexican Restaurant,ChIJ90b5q6fQDIgRYOqwFsv57zA,OPERATIONAL,restaurant food,"1407 N Prospect Ave, Champaign",1,4.5,1444
Jupiter's Pizzeria & Billiards,ChIJrSMwH0zXDIgRhQFezOWfDFQ,OPERATIONAL,bar restaurant food,"39 E Main St, Champaign",2,4.3,535
Guido's Bar & Grill,ChIJT-lsZ0zXDIgR-fxSGmfPUaM,OPERATIONAL,bar restaurant food,"2 E Main St, Champaign",2,4.2,644
Hot Wok Express,ChIJDZoqWmnXDIgRkYchI2qxObA,OPERATIONAL,restaurant food,"1102 W University Ave, Urbana",1,3.8,213
Asian Noodle & Sushi,ChIJbx2wQP3RDIgRgsrYGnwT6x8,OPERATIONAL,restaurant food,"305 Cedar St, Champaign",2,4.4,87
Olive Garden Italian Restaurant,ChIJrSiOH_zZDIgREtu1depy0TA,OPERATIONAL,meal_takeaway bar restaurant food,"30 E Anthony Dr, Champaign",2,4.2,1793
Rosati's Pizza,ChIJFeza-BPXDIgR5Tv11ezLwA8,OPERATIONAL,meal_delivery meal_takeaway restaurant food,"701 S Gregory St H, Urbana",2,4.1,252
Thara Thai Restaurant,ChIJA7nJkwnaDIgRqKSiWJAo6mg,OPERATIONAL,restaurant food,"912 1/2 W Bloomington Rd, Champaign",2,4.7,498
Merry Ann's Diner (on Campus),ChIJ7yVKCBTXDIgRuUXpCS_zjBI,CLOSED_TEMPORARILY,restaurant food,"701 S Gregory St c, Urbana",1,4.4,522
Alexander's Steakhouse,ChIJt_KmN__ZDIgRNm4Q-88Uq6g,OPERATIONAL,restaurant food,"202 W Anthony Dr, Champaign",2,4.4,636
Cowboy Monkey,ChIJd58ZbkzXDIgR5k5W44BYcds,OPERATIONAL,restaurant bar food,"6 Taylor St, Champaign",2,4.1,200
El Toro II,ChIJlzqRiDTXDIgRKB7rQIu9wyc,OPERATIONAL,restaurant food,"723 S Neil St, Champaign",2,4.1,383
McDonald's,ChIJv5lMaT_XDIgRsEtHigVjhEY,OPERATIONAL,cafe restaurant food store,"616 E Green St, Champaign",1,3.6,587
Basil Thai At Urbana,ChIJFeza-BPXDIgR4As0XIHLEds,OPERATIONAL,restaurant food,"701 S Gregory St # B, Urbana",2,3.9,175
Wingstop,ChIJ2b7YljXXDIgRCelOtJv_RMo,OPERATIONAL,restaurant food,"512 S Neil St, Champaign",2,4,307
Rainbow Garden,ChIJf_3DcC3XDIgREENlQ4b97PQ,OPERATIONAL,restaurant food,"1402 S Neil St, Champaign",2,4.2,308
Papa Del's,ChIJXTSE-jLXDIgRXYUfHxxKqUY,OPERATIONAL,restaurant food,"1201 S Neil St, Champaign",2,4.2,1474
LongHorn Steakhouse,ChIJQWWdNg7aDIgRW8wgVx_q0ao,OPERATIONAL,meal_takeaway bar restaurant food,"2101 N Prospect Ave, Champaign",2,4.3,1073
